,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1540,2463,-1,
1,2,1,1,0,0,0,127,407,1158,1582,-1,
2,3,1,1,1,0,0,127,407,1158,1582,-1,
3,4,1,1,1,1,0,697,407,354,32,-1,
4,5,1,1,1,1,1,697,407,30,31,91,D.
5,5,1,1,1,1,2,743,408,98,30,96,Brawn
6,5,1,1,1,1,3,855,407,196,32,96,Manufacture
7,4,1,1,1,2,0,204,513,379,27,-1,
8,5,1,1,1,2,1,204,513,94,27,96,Invoice
9,5,1,1,1,2,2,309,520,39,20,92,no.
10,5,1,1,1,2,3,361,513,222,27,90,DVT-AX-345678
11,4,1,1,1,3,0,204,611,297,29,-1,
12,5,1,1,1,3,1,204,611,98,29,96,Payment
13,5,1,1,1,3,2,310,611,53,23,96,date:
14,5,1,1,1,3,3,375,611,126,23,96,03/12/2006
15,4,1,1,1,4,0,131,721,1154,37,-1,
16,5,1,1,1,4,1,131,726,114,22,96,Reference
17,5,1,1,1,4,2,364,721,131,37,96,Designation
18,5,1,1,1,4,3,835,725,38,28,95,Qty
19,5,1,1,1,4,4,901,725,43,22,47,Unit
20,5,1,1,1,4,5,953,725,53,28,47,price
21,5,1,1,1,4,6,1053,724,116,23,79,TotalCHF
22,5,1,1,1,4,7,1223,724,62,24,72,Sales
23,4,1,1,1,5,0,130,783,58,23,-1,
24,5,1,1,1,5,1,130,783,58,23,96,Work
25,4,1,1,1,6,0,130,852,1154,24,-1,
26,5,1,1,1,6,1,130,853,109,23,92,SERVICE
27,5,1,1,1,6,2,249,852,15,24,92,D
28,5,1,1,1,6,3,363,852,139,24,95,COMPLETE
29,5,1,1,1,6,4,511,852,138,23,95,OVERHAUL
30,5,1,1,1,6,5,837,853,7,22,70,1
31,5,1,1,1,6,6,900,852,90,23,68,5600.00
32,5,1,1,1,6,7,1078,852,90,23,0,5500.00
33,5,1,1,1,6,8,1243,853,41,22,96,220
34,4,1,1,1,7,0,130,886,1154,23,-1,
35,5,1,1,1,7,1,130,886,109,23,92,SERVICE
36,5,1,1,1,7,2,249,887,15,22,89,D
37,5,1,1,1,7,3,366,886,164,23,96,REFRESHING
38,5,1,1,1,7,4,540,886,138,23,96,COMPLETE
39,5,1,1,1,7,5,687,886,68,23,96,CASE
40,5,1,1,1,7,6,837,887,7,21,62,1
41,5,1,1,1,7,7,900,886,76,23,83,380.00
42,5,1,1,1,7,8,1092,886,76,23,96,380.00
43,5,1,1,1,7,9,1243,887,41,22,96,220
44,4,1,1,1,8,0,363,920,256,23,-1,
45,5,1,1,1,8,1,363,920,52,22,96,AND
